Record_ID,Task,Concept,Fuel_type,Brand,Maximum_driving_range,Car_type,Price,Response
1.0,1,Option1,2,3,1,1,4,0
1.0,1,Option2,3,4,2,4,2,1
1.0,1,Option3,4,1,4,3,3,0
1.0,1,Option4,1,2,3,2,1,0
1.0,2,Option1,3,1,3,3,4,0
1.0,2,Option2,2,4,3,1,1,1
1.0,2,Option3,1,2,2,4,5,0
1.0,2,Option4,4,1,1,2,2,0
1.0,3,Option1,1,2,1,3,2,0
1.0,3,Option2,4,3,2,3,1,0
1.0,3,Option3,2,2,4,2,3,0
1.0,3,Option4,2,4,3,4,5,1
1.0,4,Option1,4,2,1,4,1,0
1.0,4,Option2,2,1,4,1,2,0
1.0,4,Option3,1,4,2,3,4,1
1.0,4,Option4,3,3,1,2,5,0
1.0,5,Option1,2,4,2,2,3,0
1.0,5,Option2,3,3,3,4,3,0
1.0,5,Option3,4,1,1,1,5,1
1.0,5,Option4,1,4,4,3,1,0
1.0,6,Option1,2,1,1,4,4,0
1.0,6,Option2,4,3,4,2,4,0
1.0,6,Option3,4,2,3,1,2,0
1.0,6,Option4,1,3,4,1,5,1
1.0,7,Option1,1,3,3,2,2,1
1.0,7,Option2,3,2,1,3,3,0
1.0,7,Option3,2,1,2,4,1,0
1.0,7,Option4,4,4,4,4,4,0
1.0,8,Option1,4,4,3,3,5,0
1.0,8,Option2,1,1,2,2,5,0
1.0,8,Option3,3,3,4,4,2,1
1.0,8,Option4,3,2,2,1,4,0
1.0,9,Option1,3,1,4,1,1,0
1.0,9,Option2,1,4,1,1,3,1
1.0,9,Option3,3,2,3,2,4,0
1.0,9,Option4,2,3,2,3,2,0
1.0,10,Option1,4,3,2,1,3,1
1.0,10,Option2,2,2,4,3,5,0
1.0,10,Option3,3,4,1,2,1,0
1.0,10,Option4,1,1,3,4,3,0
2.0,1,Option1,2,1,3,1,3,0
2.0,1,Option2,3,3,4,2,3,0
2.0,1,Option3,1,4,2,3,1,1
2.0,1,Option4,4,2,1,4,5,0
2.0,2,Option1,3,3,3,4,2,0
2.0,2,Option2,2,3,2,2,3,0
2.0,2,Option3,4,1,4,1,1,1
2.0,2,Option4,1,2,3,3,4,0
2.0,3,Option1,2,3,1,3,1,0
2.0,3,Option2,1,1,4,4,2,0
2.0,3,Option3,2,4,3,2,5,0
2.0,3,Option4,3,2,2,1,2,1
2.0,4,Option1,4,4,4,2,2,0
2.0,4,Option2,2,2,3,1,1,1
2.0,4,Option3,1,3,1,4,4,0
2.0,4,Option4,3,3,4,3,5,0
2.0,5,Option1,3,4,3,4,1,0
2.0,5,Option2,3,1,2,3,5,0
2.0,5,Option3,2,2,1,1,2,1
2.0,5,Option4,4,4,1,3,3,0
2.0,6,Option1,1,1,1,3,2,0
2.0,6,Option2,3,4,2,1,4,1
2.0,6,Option3,2,2,4,4,5,0
2.0,6,Option4,4,1,3,2,4,0
2.0,7,Option1,3,2,1,2,4,0
2.0,7,Option2,4,3,2,4,1,1
2.0,7,Option3,1,1,3,2,5,0
2.0,7,Option4,1,4,4,1,3,0
2.0,8,Option1,1,2,4,2,1,0
2.0,8,Option2,4,4,1,1,5,0
2.0,8,Option3,4,3,3,3,2,0
2.0,8,Option4,2,1,2,4,4,1
2.0,9,Option1,1,3,2,1,5,0
2.0,9,Option2,2,4,4,3,4,0
2.0,9,Option3,4,2,2,3,3,1
2.0,9,Option4,3,1,1,4,3,0
2.0,10,Option1,4,3,4,1,4,0
2.0,10,Option2,1,2,3,4,3,1
2.0,10,Option3,3,1,1,2,1,0
2.0,10,Option4,2,4,2,2,2,0
3.0,1,Option1,1,4,1,4,1,0
3.0,1,Option2,3,3,3,3,3,0
3.0,1,Option3,2,2,2,1,5,1
3.0,1,Option4,4,1,4,2,2,0
3.0,2,Option1,4,3,4,1,4,0
3.0,2,Option2,1,2,2,3,4,1
3.0,2,Option3,3,4,1,4,5,0
3.0,2,Option4,2,1,3,2,5,0
3.0,3,Option1,3,1,3,1,4,0
3.0,3,Option2,2,3,2,2,1,0
3.0,3,Option3,2,4,4,3,2,1
3.0,3,Option4,4,1,1,4,3,0
3.0,4,Option1,3,2,4,2,5,0
3.0,4,Option2,2,4,1,2,4,0
3.0,4,Option3,4,2,3,3,2,1
3.0,4,Option4,1,3,4,1,3,0
3.0,5,Option1,1,4,3,2,2,0
3.0,5,Option2,4,3,2,4,5,1
3.0,5,Option3,3,1,2,1,4,0
3.0,5,Option4,3,2,1,3,1,0
